item,code
http://www.wikidata.org/entity/Q25279,CUW
http://www.wikidata.org/entity/Q31063,CXR
http://www.wikidata.org/entity/Q5785,CYM
http://www.wikidata.org/entity/Q229,CYP
http://www.wikidata.org/entity/Q213,CZE
http://www.wikidata.org/entity/Q16957,DDR
http://www.wikidata.org/entity/Q183,DEU
http://www.wikidata.org/entity/Q184851,DGA
http://www.wikidata.org/entity/Q798431,DHY
http://www.wikidata.org/entity/Q977,DJI
http://www.wikidata.org/entity/Q784,DMA
http://www.wikidata.org/entity/Q35,DNK
http://www.wikidata.org/entity/Q786,DOM
http://www.wikidata.org/entity/Q262,DZA
http://www.wikidata.org/entity/Q736,ECU
http://www.wikidata.org/entity/Q79,EGY
http://www.wikidata.org/entity/Q986,ERI
http://www.wikidata.org/entity/Q6250,ESH
http://www.wikidata.org/entity/Q29,ESP
http://www.wikidata.org/entity/Q191,EST
http://www.wikidata.org/entity/Q115,ETH
http://www.wikidata.org/entity/Q33,FIN
http://www.wikidata.org/entity/Q712,FJI
http://www.wikidata.org/entity/Q9648,FLK
http://www.wikidata.org/entity/Q142,FRA
http://www.wikidata.org/entity/Q4628,FRO
http://www.wikidata.org/entity/Q702,FSM
http://www.wikidata.org/entity/Q212429,FXX
http://www.wikidata.org/entity/Q1000,GAB
http://www.wikidata.org/entity/Q145,GBR
http://www.wikidata.org/entity/Q1050859,GEL
http://www.wikidata.org/entity/Q230,GEO
http://www.wikidata.org/entity/Q25230,GGY
http://www.wikidata.org/entity/Q117,GHA
http://www.wikidata.org/entity/Q1410,GIB
http://www.wikidata.org/entity/Q1006,GIN
http://www.wikidata.org/entity/Q17012,GLP
http://www.wikidata.org/entity/Q1005,GMB
http://www.wikidata.org/entity/Q1007,GNB
http://www.wikidata.org/entity/Q983,GNQ
http://www.wikidata.org/entity/Q41,GRC
http://www.wikidata.org/entity/Q769,GRD
http://www.wikidata.org/entity/Q223,GRL
http://www.wikidata.org/entity/Q774,GTM
http://www.wikidata.org/entity/Q3769,GUF
http://www.wikidata.org/entity/Q16635,GUM
http://www.wikidata.org/entity/Q734,GUY
http://www.wikidata.org/entity/Q8646,HKG
http://www.wikidata.org/entity/Q131198,HMD
http://www.wikidata.org/entity/Q783,HND
http://www.wikidata.org/entity/Q224,HRV
http://www.wikidata.org/entity/Q790,HTI
http://www.wikidata.org/entity/Q28,HUN
http://www.wikidata.org/entity/Q797422,HVO
http://www.wikidata.org/entity/Q252,IDN
http://www.wikidata.org/entity/Q9676,IMN
http://www.wikidata.org/entity/Q668,IND
http://www.wikidata.org/entity/Q43448,IOT
http://www.wikidata.org/entity/Q27,IRL
http://www.wikidata.org/entity/Q794,IRN
http://www.wikidata.org/entity/Q796,IRQ
http://www.wikidata.org/entity/Q189,ISL
http://www.wikidata.org/entity/Q801,ISR
http://www.wikidata.org/entity/Q38,ITA
http://www.wikidata.org/entity/Q766,JAM
http://www.wikidata.org/entity/Q785,JEY
http://www.wikidata.org/entity/Q810,JOR
http://www.wikidata.org/entity/Q17,JPN
http://www.wikidata.org/entity/Q131008,JTN
http://www.wikidata.org/entity/Q232,KAZ
http://www.wikidata.org/entity/Q114,KEN
http://www.wikidata.org/entity/Q813,KGZ
http://www.wikidata.org/entity/Q424,KHM
http://www.wikidata.org/entity/Q710,KIR
http://www.wikidata.org/entity/Q763,KNA
http://www.wikidata.org/entity/Q884,KOR
http://www.wikidata.org/entity/Q817,KWT
http://www.wikidata.org/entity/Q819,LAO
http://www.wikidata.org/entity/Q822,LBN
http://www.wikidata.org/entity/Q1014,LBR
http://www.wikidata.org/entity/Q1016,LBY
http://www.wikidata.org/entity/Q760,LCA
http://www.wikidata.org/entity/Q347,LIE
http://www.wikidata.org/entity/Q854,LKA
http://www.wikidata.org/entity/Q1013,LSO
http://www.wikidata.org/entity/Q37,LTU
http://www.wikidata.org/entity/Q32,LUX
http://www.wikidata.org/entity/Q211,LVA
http://www.wikidata.org/entity/Q14773,MAC
http://www.wikidata.org/entity/Q126125,MAF
http://www.wikidata.org/entity/Q1028,MAR
http://www.wikidata.org/entity/Q235,MCO
http://www.wikidata.org/entity/Q217,MDA
http://www.wikidata.org/entity/Q1019,MDG
http://www.wikidata.org/entity/Q826,MDV
http://www.wikidata.org/entity/Q96,MEX
http://www.wikidata.org/entity/Q709,MHL
http://www.wikidata.org/entity/Q47863,MID
http://www.wikidata.org/entity/Q221,MKD
http://www.wikidata.org/entity/Q912,MLI
http://www.wikidata.org/entity/Q233,MLT
http://www.wikidata.org/entity/Q836,MMR
http://www.wikidata.org/entity/Q236,MNE
http://www.wikidata.org/entity/Q711,MNG
http://www.wikidata.org/entity/Q16644,MNP
http://www.wikidata.org/entity/Q1029,MOZ
http://www.wikidata.org/entity/Q1025,MRT
http://www.wikidata.org/entity/Q13353,MSR
http://www.wikidata.org/entity/Q17054,MTQ
http://www.wikidata.org/entity/Q1027,MUS
http://www.wikidata.org/entity/Q1020,MWI
http://www.wikidata.org/entity/Q833,MYS
http://www.wikidata.org/entity/Q17063,MYT
http://www.wikidata.org/entity/Q1030,NAM
http://www.wikidata.org/entity/Q33788,NCL
http://www.wikidata.org/entity/Q1032,NER
http://www.wikidata.org/entity/Q31057,NFK
http://www.wikidata.org/entity/Q1033,NGA
http://www.wikidata.org/entity/Q752431,NHB
http://www.wikidata.org/entity/Q811,NIC
http://www.wikidata.org/entity/Q34020,NIU
http://www.wikidata.org/entity/Q55,NLD
http://www.wikidata.org/entity/Q29999,NLD
http://www.wikidata.org/entity/Q20,NOR
http://www.wikidata.org/entity/Q837,NPL
http://www.wikidata.org/entity/Q697,NRU
http://www.wikidata.org/entity/Q664,NZL
http://www.wikidata.org/entity/Q842,OMN
http://www.wikidata.org/entity/Q843,PAK
http://www.wikidata.org/entity/Q804,PAN
http://www.wikidata.org/entity/Q35672,PCN
http://www.wikidata.org/entity/Q419,PER
http://www.wikidata.org/entity/Q928,PHL
http://www.wikidata.org/entity/Q695,PLW
http://www.wikidata.org/entity/Q691,PNG
http://www.wikidata.org/entity/Q36,POL
http://www.wikidata.org/entity/Q1183,PRI
http://www.wikidata.org/entity/Q423,PRK
http://www.wikidata.org/entity/Q45,PRT
http://www.wikidata.org/entity/Q733,PRY
http://www.wikidata.org/entity/Q219060,PSE
http://www.wikidata.org/entity/Q407199,PSE
http://www.wikidata.org/entity/Q30971,PYF
http://www.wikidata.org/entity/Q846,QAT
http://www.wikidata.org/entity/Q17070,REU
http://www.wikidata.org/entity/Q218,ROU
http://www.wikidata.org/entity/Q159,RUS
http://www.wikidata.org/entity/Q1037,RWA
http://www.wikidata.org/entity/Q851,SAU
http://www.wikidata.org/entity/Q37024,SCG
http://www.wikidata.org/entity/Q1049,SDN
http://www.wikidata.org/entity/Q1041,SEN
http://www.wikidata.org/entity/Q334,SGP
http://www.wikidata.org/entity/Q35086,SGS
http://www.wikidata.org/entity/Q192184,SHN
http://www.wikidata.org/entity/Q842829,SJM
http://www.wikidata.org/entity/Q685,SLB
http://www.wikidata.org/entity/Q1044,SLE
http://www.wikidata.org/entity/Q792,SLV
http://www.wikidata.org/entity/Q238,SMR
http://www.wikidata.org/entity/Q1045,SOM
http://www.wikidata.org/entity/Q34617,SPM
http://www.wikidata.org/entity/Q403,SRB
http://www.wikidata.org/entity/Q958,SSD
http://www.wikidata.org/entity/Q1039,STP
http://www.wikidata.org/entity/Q15180,SUN
http://www.wikidata.org/entity/Q730,SUR
http://www.wikidata.org/entity/Q214,SVK
http://www.wikidata.org/entity/Q215,SVN
http://www.wikidata.org/entity/Q34,SWE
http://www.wikidata.org/entity/Q1050,SWZ
http://www.wikidata.org/entity/Q26273,SXM
http://www.wikidata.org/entity/Q1042,SYC
http://www.wikidata.org/entity/Q858,SYR
http://www.wikidata.org/entity/Q18221,TCA
http://www.wikidata.org/entity/Q657,TCD
http://www.wikidata.org/entity/Q945,TGO
http://www.wikidata.org/entity/Q869,THA
http://www.wikidata.org/entity/Q863,TJK
http://www.wikidata.org/entity/Q36823,TKL
http://www.wikidata.org/entity/Q874,TKM
http://www.wikidata.org/entity/Q574,TLS
http://www.wikidata.org/entity/Q678,TON
http://www.wikidata.org/entity/Q754,TTO
http://www.wikidata.org/entity/Q948,TUN
http://www.wikidata.org/entity/Q43,TUR
http://www.wikidata.org/entity/Q672,TUV
http://www.wikidata.org/entity/Q865,TWN
http://www.wikidata.org/entity/Q924,TZA
http://www.wikidata.org/entity/Q1036,UGA
http://www.wikidata.org/entity/Q212,UKR
http://www.wikidata.org/entity/Q16645,UMI
http://www.wikidata.org/entity/Q77,URY
http://www.wikidata.org/entity/Q30,USA
http://www.wikidata.org/entity/Q265,UZB
http://www.wikidata.org/entity/Q237,VAT
http://www.wikidata.org/entity/Q757,VCT
http://www.wikidata.org/entity/Q717,VEN
http://www.wikidata.org/entity/Q25305,VGB
http://www.wikidata.org/entity/Q11703,VIR
http://www.wikidata.org/entity/Q881,VNM
http://www.wikidata.org/entity/Q686,VUT
http://www.wikidata.org/entity/Q35555,WLF
http://www.wikidata.org/entity/Q683,WSM
http://www.wikidata.org/entity/Q1246,XKS
http://www.wikidata.org/entity/Q805,YEM
http://www.wikidata.org/entity/Q83286,YUG
http://www.wikidata.org/entity/Q838261,YUG
http://www.wikidata.org/entity/Q258,ZAF
http://www.wikidata.org/entity/Q953,ZMB
http://www.wikidata.org/entity/Q954,ZWE
